x0,x1,2,3,4,5,6,7,8,9,pre
1.246874314,0.125700988,0.796011919,-1.359352334,0.362131957,0.239671883,-0.628003536,-0.75434743,-1.593304193,-0.272499094,0.5279158
-1.340777353,0.228578122,0.475122543,0.627907994,1.631543427,-0.314723302,1.408254639,1.617827376,1.426681676,1.436846066,0.52546847
0.25424747,0.080553313,-0.506361825,0.004677457,-1.360414315,1.572223588,0.673208602,0.580485297,-0.417650444,0.588770302,0.5848968
0.057471295,0.803860943,-0.618200505,-0.662327754,1.013432131,1.532014683,-1.449836751,0.89237727,0.083397574,-0.461505732,0.5604023
-1.164826232,-0.438061493,0.401345445,-1.225923429,-0.397446327,0.285443206,1.151916296,-0.857491543,0.095672645,0.300590939,0.51894546
-1.699576859,1.730760029,0.41167859,-0.990616529,-0.022082368,0.809511894,0.351382596,0.478558821,-0.952308284,1.417160328,0.47675872
-1.662266122,0.312626402,-1.328127676,0.648497594,-0.361728988,0.740796621,-0.066338002,1.502801592,-0.20225045,-0.54901848,0.52426875
1.374715061,1.651156623,0.698384268,0.027626661,0.336566805,0.131633062,1.660269241,1.400760847,-0.567830486,-1.548347045,0.48394877
-0.704594276,0.782263414,-1.170525353,0.090603749,0.89678418,1.560839436,0.977688869,1.064821421,0.225156702,0.636426377,0.53084767
-1.450459391,0.926708761,0.172102229,0.411116767,-1.695277215,1.559302619,-1.64750357,0.834891073,-1.39387173,-0.343507298,0.5604023
-0.687238022,1.399305315,0.889212201,0.806171877,0.943837487,-0.488108168,-1.271632754,0.803698359,-1.193670826,-1.682811378,0.5151105
1.536658325,0.574389588,-1.553594943,-0.042066525,0.765887961,-1.26836563,-0.938105559,0.688236392,-0.79683717,-1.429789294,0.51695055
-1.673969303,0.279437623,0.684835948,0.700110472,-0.221204056,1.261056632,0.012647925,-1.249591439,-0.689088208,-0.826732579,0.5153193
0.502441936,-1.476154954,-1.026281832,0.253115474,0.265960285,0.558868702,0.411425703,1.142617359,-1.706400593,0.382934107,0.50701696
-1.051526548,1.721244421,0.13317117,0.811756377,1.031837586,1.224717989,1.566663798,1.357515579,-0.139304421,-1.54410324,0.4958393
-1.163708281,-0.409996139,-1.674932274,-0.711179151,-0.959933763,-1.201120432,0.888672022,-1.274537413,-1.255099574,0.086507926,0.53442705
-0.174134646,1.236104293,0.171745789,-0.243008322,-0.80112868,1.035501963,0.041567191,0.696717224,-0.909300671,-0.775166113,0.53135747
0.113324715,0.379977989,1.245284047,0.395742579,-1.191115674,0.367434485,0.022276219,0.201165858,-0.764495285,-1.547246175,0.57532643
0.713519725,1.134170154,0.58530522,-0.594823486,-1.048320932,1.186893331,1.131041204,0.805983662,1.040822464,-1.248257334,0.53466547
-1.197241788,-1.368670318,0.461531298,-1.605284583,0.99096782,-0.379067973,-1.428650278,1.169746638,0.141138247,0.048208666,0.48747462
0.424829498,-0.358602954,-0.811458207,-1.206069628,0.205976843,1.397165505,1.503297947,-0.569601241,-1.298411735,1.278673927,0.57532643
-1.492886992,-0.554800037,0.876390372,-1.725109871,1.684740839,0.59336033,0.597344333,0.777593386,-1.405551002,1.206099102,0.5094911
0.487994431,-1.655480058,0.840255738,1.664771528,-0.460282022,0.242405973,-0.511874679,-0.367610367,0.062658131,1.164051115,0.5131666
1.060691808,-1.409815369,-0.614042174,1.144753143,0.40262302,-1.651823343,0.507436021,-0.433595527,0.995916347,1.448084863,0.51987934
-0.387561981,1.501935204,-0.52001702,1.122107425,-1.326991452,-0.152242859,-1.124899494,0.015852734,1.014149873,-0.783243106,0.53040236
-0.746350217,0.594636056,0.518276484,-1.335324598,0.391052459,-0.13270757,-1.5394762,-1.697763324,0.904282057,1.042154208,0.5326755
-0.764901504,-0.777251097,0.051623038,0.770396324,0.617177254,0.263688936,-0.758536686,-1.402575144,0.479830858,-1.058908956,0.53684866
-0.267196218,0.879532545,-0.940806567,-1.732011573,1.704404227,1.073782214,0.559391375,0.215432199,-1.560503519,0.968120555,0.5604023
0.523002454,-1.406286434,0.886421141,1.550861242,0.576132208,-0.799292313,0.623749625,0.499303569,-0.971255695,0.214777913,0.5183662
-0.920328122,0.502716245,0.574042236,0.066008917,1.07272896,-0.769088521,-0.760755532,0.495045651,-0.694485996,-0.957829902,0.5370917
-1.549127416,0.637186271,-0.384905467,0.611746755,0.124887405,1.367118178,-1.228770206,1.619122986,1.270004887,0.204400943,0.5227685
1.09605325,-1.617241424,-1.299073655,1.485858281,0.855251612,0.002580703,1.085230055,0.852188503,-0.333263351,-0.762844419,0.5085734
