Label,event_time,label
TRUE,0.043227417,1
TRUE,0.269811367,1
TRUE,0.12661536,1
TRUE,0.081806226,1
TRUE,0.052941779,1
TRUE,0.785025391,1
TRUE,0.087947196,1
TRUE,0.00718718,1
TRUE,0.126119081,1
TRUE,0.605702522,1
TRUE,0.042446824,1
TRUE,0.063566465,1
TRUE,0.037473339,1
TRUE,0.039125554,1
TRUE,0.042719372,1
TRUE,0.018634883,1
TRUE,0.064231707,1
FALSE,1.069145655,0
TRUE,0.11484549,1
TRUE,0.136690859,1
TRUE,0.433092975,1
TRUE,0.090248986,1
TRUE,0.011218797,1
TRUE,0.191408439,1
TRUE,0.0320278,1
TRUE,0.088827139,1
TRUE,0.543512099,1
TRUE,0.013647013,1
TRUE,0.384845593,1
FALSE,1.069145655,0
TRUE,0.057414554,1
TRUE,0.200599422,1
TRUE,0.011737001,1
FALSE,1.069145655,0
TRUE,0.550519183,1
FALSE,1.069145655,0
TRUE,0.003206971,1
TRUE,0.002719913,1
TRUE,0.589892117,1
TRUE,0.030404127,1
TRUE,0.334458853,1
TRUE,0.064215678,1
FALSE,1.069145655,0
TRUE,0.02684894,1
TRUE,0.59979459,1
TRUE,0.272499191,1
TRUE,0.013993815,1
TRUE,0.65777107,1
TRUE,0.179772849,1
TRUE,0.251333081,1
TRUE,0.057604003,1
TRUE,0.2262772,1
TRUE,0.917544934,1
TRUE,0.010939158,1
TRUE,0.012740476,1
TRUE,0.066606139,1
FALSE,1.069145655,0
TRUE,0.017838988,1
TRUE,0.528513879,1
TRUE,0.010748312,1
FALSE,1.069145655,0
TRUE,0.021968544,1
FALSE,1.069145655,0
TRUE,0.053053149,1
TRUE,0.17393991,1
TRUE,0.842491128,1
TRUE,0.012746346,1
TRUE,1.043952062,1
TRUE,0.068272239,1
TRUE,0.034175396,1
TRUE,0.249544232,1
TRUE,0.497782208,1
TRUE,0.112509311,1
TRUE,0.069091223,1
TRUE,0.196211196,1
TRUE,0.029743538,1
TRUE,0.264533963,1
TRUE,0.510074693,1
TRUE,0.669364504,1
TRUE,0.752374917,1
TRUE,0.102480197,1
TRUE,0.025467228,1
TRUE,0.006426744,1
TRUE,0.487478731,1
TRUE,0.565521935,1
TRUE,0.029729096,1
TRUE,0.801361422,1
FALSE,1.069145655,0
TRUE,0.055520315,1
TRUE,0.066666946,1
TRUE,0.882402988,1
TRUE,0.035551429,1
TRUE,1.056042943,1
TRUE,0.411990047,1
TRUE,0.032995343,1
FALSE,1.069145655,0
TRUE,0.084009193,1
TRUE,0.309401022,1
TRUE,0.020809623,1
TRUE,0.248046304,1
TRUE,0.006299445,1
TRUE,0.299575751,1
TRUE,0.303608124,1
TRUE,0.763832182,1
TRUE,0.394649314,1
TRUE,0.0513252,1
TRUE,0.204270957,1
TRUE,0.262209258,1
TRUE,0.636167645,1
TRUE,0.02873452,1
TRUE,0.572336421,1
TRUE,0.352921923,1
TRUE,0.017712299,1
TRUE,0.031206712,1
FALSE,1.069145655,0
FALSE,1.069145655,0
TRUE,0.007659661,1
TRUE,0.207862721,1
TRUE,0.017442332,1
TRUE,0.333298874,1
TRUE,0.934367507,1
TRUE,0.07281515,1
TRUE,0.04570304,1
TRUE,0.03112638,1
TRUE,0.005266421,1
TRUE,0.013627268,1
TRUE,0.103104099,1
TRUE,0.103424169,1
TRUE,0.041972284,1
TRUE,0.015190918,1
TRUE,0.637222298,1
TRUE,0.37758148,1
TRUE,0.000564917,1
TRUE,0.020610803,1
TRUE,0.077388058,1
FALSE,1.069145655,0
TRUE,0.14927967,1
FALSE,1.069145655,0
TRUE,0.170760318,1
TRUE,0.016632498,1
TRUE,0.013304234,1
TRUE,0.203235687,1
FALSE,1.069145655,0
TRUE,0.383273033,1
TRUE,0.163218329,1
TRUE,0.169674868,1
TRUE,0.065830429,1
TRUE,0.737622931,1
TRUE,0.057153378,1
TRUE,0.125204571,1
TRUE,0.167117289,1
TRUE,0.275270599,1
TRUE,0.323526981,1
TRUE,0.184172813,1
TRUE,0.004863928,1
TRUE,0.150202907,1
TRUE,0.41644794,1
TRUE,0.147372605,1
TRUE,0.023439736,1
TRUE,0.113375325,1
TRUE,0.023216103,1
TRUE,0.026070455,1
TRUE,0.000689707,1
TRUE,0.387845375,1
TRUE,0.046967524,1
FALSE,1.069145655,0
TRUE,0.571011157,1
TRUE,0.033690765,1
TRUE,0.024300489,1
TRUE,0.270555383,1
TRUE,0.308483687,1
TRUE,0.258275664,1
TRUE,0.053270399,1
TRUE,0.6095379,1
TRUE,0.925479301,1
TRUE,0.117151951,1
FALSE,1.069145655,0
TRUE,0.061216122,1
TRUE,0.253924233,1
TRUE,0.167841126,1
TRUE,0.003150883,1
TRUE,0.048579198,1
TRUE,0.013549869,1
FALSE,1.069145655,0
TRUE,0.727406563,1
TRUE,0.0380559,1
TRUE,0.169337493,1
TRUE,0.00192233,1
TRUE,0.05453392,1
TRUE,0.324199785,1
TRUE,0.217136892,1
TRUE,0.976709465,1
TRUE,0.430502325,1
TRUE,0.65364063,1
TRUE,0.000247267,1
TRUE,0.036381575,1
TRUE,0.103857628,1
TRUE,0.254773157,1
TRUE,0.284937282,1
TRUE,0.053637155,1
TRUE,0.048211368,1
TRUE,0.34696603,1
TRUE,0.463630088,1
TRUE,0.095147234,1
TRUE,0.820167934,1
TRUE,0.487678861,1
TRUE,0.089878883,1
TRUE,0.040215973,1
TRUE,0.00500022,1
TRUE,1.066150301,1
TRUE,0.628235805,1
TRUE,0.212470561,1
TRUE,0.061692134,1
TRUE,0.000391208,1
TRUE,0.117822358,1
TRUE,0.20847307,1
TRUE,0.026483581,1
TRUE,0.585518952,1
TRUE,0.103044465,1
TRUE,0.124502815,1
FALSE,1.069145655,0
TRUE,0.045574018,1
TRUE,0.828571749,1
TRUE,0.071375657,1
TRUE,0.072064678,1
TRUE,0.077913334,1
TRUE,0.056310314,1
TRUE,0.285971867,1
TRUE,0.458535655,1
TRUE,0.028878353,1
TRUE,0.614752089,1
TRUE,0.458317953,1
FALSE,1.069145655,0
TRUE,0.5320776,1
TRUE,0.087198421,1
TRUE,0.030972611,1
TRUE,0.122860097,1
TRUE,0.101678732,1
TRUE,0.009946776,1
FALSE,1.069145655,0
TRUE,0.644976469,1
TRUE,0.858950355,1
TRUE,0.119939736,1
TRUE,0.090234318,1
TRUE,0.01048862,1
TRUE,0.665412239,1
TRUE,0.096894931,1
