x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,pre
-0.487771896,-0.252754721,-0.422378882,0.838400676,0.414506493,0.678026025,0.632244909,-0.968238418,0.293153354,-0.510863948,0.20401886
0.714819029,-0.497996487,-0.967352757,-0.265823531,-0.642132939,-0.409631277,-0.651070035,-0.155548192,0.159764462,0.631490187,1
0.111857585,-0.293853301,-0.022514061,0.03413083,0.958434336,0.666213285,0.697758033,-0.539645623,-0.15832222,-0.707633982,0.99999696
-0.471307354,0.821209944,-0.375420205,-0.456497096,0.643648421,-0.64200059,0.105464937,0.631191378,-0.43691711,-0.95894931,1
0.529362682,0.406719159,-0.968155307,-0.576953499,0.751698789,0.49769655,0.815257163,0.582222233,-0.920920294,0.5564674,1
-0.114994826,-0.513602756,0.510445689,0.707267729,0.714621008,-0.94271069,-0.435526805,0.197038062,-0.272691916,-0.007236283,0.99999994
0.297629666,-0.050592608,0.473463491,0.256706589,-0.876644434,-0.489671426,-0.682625393,0.380214703,0.644812263,-0.099179302,1
-0.851557316,-0.793605875,-0.479011425,-0.619631976,-0.410976547,0.350715805,-0.915170008,-0.94480862,-0.764905787,0.318030564,0.000677855
0.242057985,0.890763401,0.191948159,0.523939022,0.330948258,-0.281543133,0.300128453,-0.522396028,0.945854038,-0.728623376,1
0.241794417,0.8048945,-0.776718393,-0.620688106,0.534539388,-0.536386793,0.483553447,-0.603172866,0.594193624,-0.269601864,1
-0.881292385,-0.719127938,0.836001977,0.068657794,-0.319518131,-0.941346476,0.152414154,0.945065264,-0.930780817,-0.038732318,0.9958514
0.914282567,0.197737514,-0.061332293,-0.809105864,-0.925532376,0.207559261,-0.431154234,0.383356309,-0.42618468,-0.949905423,1
-0.898228183,-0.719265618,0.310935343,0.155389974,0.328736831,0.742285009,-0.080019024,0.259767155,0.868615457,0.354834107,0.000160982
-0.436744016,0.722698914,-0.170225738,-0.402603834,-0.572073697,0.911199164,-0.061275113,0.905821521,-0.981025169,-0.369932227,1
0.462169573,0.981312156,0.390657835,-0.372680796,-0.648100091,0.017326926,-0.695333467,-0.135216983,0.504530958,-0.408172552,1
-0.350878541,-0.15688017,-0.04326914,-0.178202373,-0.51343977,0.85422082,-0.515051057,0.729449505,0.191881566,0.763144633,1
0.928755152,0.97720412,0.299687815,0.188037065,-0.510366256,-0.560600073,0.750939951,-0.082760614,0.612919779,0.504242777,1
-0.608091484,0.697829224,-0.708993418,-0.358731182,-0.766692174,-0.63954247,-0.668359877,-0.756695528,-0.267016478,0.491408934,1
-0.887244871,-0.521786475,-0.016894461,-0.041730321,-0.956251902,-0.860461432,0.847948594,0.489729871,-0.646642939,-0.774305091,0.98169243
-0.763867564,0.572395597,-0.798824974,-0.453318617,0.938393046,-0.894741458,-0.771566911,-0.255786197,0.629118213,0.987884548,1
0.302570173,0.273233769,-0.515928369,0.144001233,-0.227829878,0.795398967,0.665707889,0.299108624,0.466851536,0.319547282,1
0.770009238,0.16133821,-0.169892397,0.953770911,-0.66224436,-0.292037582,-0.104763574,0.628651245,0.764737432,-0.156192332,1
-0.875956436,-0.646405118,-0.237697053,0.02625499,-0.648280559,-0.69944082,-0.650181333,-0.127373981,0.125883174,-0.042336063,0.010267303
0.736977211,0.381010404,0.387345661,0.687049242,0.774962275,-0.043667929,-0.487387557,0.60659528,0.066450371,-0.061451234,1
0.615141197,-0.644846489,-0.777335245,0.101188298,0.229334956,-0.506349342,-0.976352291,-0.175038082,-0.251578399,0.486499273,1
-0.870589251,-0.859461354,-0.850581457,-0.167481639,0.251074605,0.327874143,0.176492653,-0.515618543,0.104713968,-0.98918876,0.99992937
0.1301163,-0.700885838,-0.300687509,0.122440328,-0.748543002,0.445189171,-0.167491078,0.436594616,0.396113703,-0.386844795,9.52467E-11
-0.122064291,0.642530173,0.973683196,0.183037345,0.028079301,-0.044806543,-0.671031703,-0.96071529,-0.702640357,0.62666018,1
-0.334338816,-0.219141364,-0.065190732,-0.514779193,0.05832326,-0.617040491,-0.142135395,0.845528841,-0.510527452,-0.588925899,0.99999386
-0.444215446,0.661713474,0.862011732,-0.906736973,-0.069783928,0.487210941,0.685958893,0.145916253,0.787119334,0.745932515,1
-0.494349652,-0.645302718,-0.385222781,-0.056241834,-0.109582071,0.217286387,-0.341803717,-0.427362391,0.53779045,-0.49602765,0.8206537
