machine_name,operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16,status,cycle
1,42.0017,0.8414,1149.81,5.71,2211.38,42.77,2387.4,8066.19,100.0,0.02,True,149
2,42.0047,0.8411,1146.65,5.72,2212.32,42.64,2388.42,8110.26,100.0,0.02,False,269
3,42.0073,0.84,1144.89,5.72,2211.81,42.85,2387.87,8082.25,100.0,0.02,False,206
4,0.003,0.0007,1428.21,21.61,2388.17,48.25,2388.17,8215.14,100.0,0.03,False,235
5,42.0049,0.8408,1146.87,5.72,2212.99,42.67,2389.19,8151.36,100.0,0.02,True,154
6,42.0012,0.8404,1145.99,5.71,2211.5,42.82,2387.53,8065.96,100.0,0.02,True,175
7,42.0018,0.84,1145.93,5.72,2213.32,42.65,2389.46,8171.96,100.0,0.02,True,174
8,25.0067,0.62,1061.95,9.03,1915.39,37.31,2028.3,7882.01,60.0,0.02,True,151
9,10.0047,0.2519,1332.19,15.5,2319.18,46.18,2388.42,8102.98,100.0,0.03,True,199
10,0.0014,0.0,1424.97,21.61,2388.35,48.24,2388.29,8121.02,100.0,0.03,True,184
11,42.005,0.84,1144.57,5.72,2213.23,42.83,2389.4,8167.76,100.0,0.02,False,271
12,10.0047,0.25,1326.77,15.5,2319.18,46.25,2388.43,8132.04,100.0,0.03,False,249
13,35.0009,0.84,1146.18,8.0,2222.88,42.67,2387.9,8055.61,100.0,0.02,False,227
14,42.0021,0.84,1146.4,5.72,2211.19,42.68,2387.28,8055.88,100.0,0.02,True,193
15,0.0006,0.0005,1428.28,21.61,2388.21,47.96,2388.18,8181.46,100.0,0.03,False,209
16,25.0042,0.6207,1061.69,9.03,1914.98,37.44,2027.84,7863.46,60.0,0.02,True,154
17,42.0012,0.8415,1145.64,5.72,2212.14,42.62,2388.22,8100.8,100.0,0.02,True,180
18,10.003,0.25,1330.94,15.5,2319.19,46.08,2388.33,8113.83,100.0,0.03,False,209
19,41.9997,0.84,1149.55,5.72,2214.17,42.8,2390.39,8220.01,100.0,0.02,True,163
20,0.0003,0.0,1434.86,21.61,2388.3,48.21,2388.28,8126.28,100.0,0.03,True,154
21,35.0016,0.84,1142.55,8.0,2223.68,42.34,2388.85,8115.27,100.0,0.02,True,189
22,42.0035,0.84,1145.64,5.72,2211.6,43.03,2387.7,8079.04,100.0,0.02,True,192
23,42.0047,0.8413,1140.33,5.72,2213.69,42.62,2389.92,8190.63,100.0,0.02,False,211
24,42.0007,0.842,1143.16,5.72,2213.64,42.58,2389.89,8188.59,100.0,0.02,True,191
25,10.0059,0.2513,1324.06,15.5,2319.26,46.08,2388.38,8129.19,100.0,0.03,False,205
26,25.005,0.6202,1067.5,9.03,1915.24,37.43,2028.14,7876.17,60.0,0.02,True,187
27,42.0017,0.842,1138.67,5.72,2213.46,42.73,2389.68,8179.15,100.0,0.02,True,176
28,10.002,0.25,1333.85,15.5,2319.16,46.01,2388.41,8104.98,100.0,0.03,True,200
29,9.9992,0.25,1338.88,15.5,2319.22,46.12,2388.42,8117.46,100.0,0.03,True,151
30,10.0019,0.25,1332.54,15.5,2319.17,46.11,2388.41,8144.83,100.0,0.03,True,166
31,0.0004,0.0,1427.81,21.61,2388.17,48.1,2388.18,8204.59,100.0,0.03,False,343
32,0.0005,0.0008,1421.53,21.61,2388.22,48.18,2388.18,8196.84,100.0,0.03,False,281
33,42.0061,0.8419,1144.1,5.72,2212.89,42.71,2389.05,8149.54,100.0,0.02,True,195
34,10.0029,0.2512,1330.2,15.5,2319.19,46.05,2388.43,8129.21,100.0,0.03,False,205
35,42.0027,0.84,1147.6,5.72,2213.25,42.61,2389.44,8165.94,100.0,0.02,True,196
36,10.0015,0.2516,1331.12,15.5,2319.23,46.07,2388.39,8111.56,100.0,0.03,False,203
37,0.0011,0.0,1427.28,21.61,2388.3,48.22,2388.3,8121.69,100.0,0.03,False,210
38,42.0,0.84,1147.89,5.71,2211.34,42.72,2387.37,8067.73,100.0,0.02,True,177
