,0
0,1.0428024678054375
1,0.2510906954710106
2,-2.1956175270774367
3,-0.5207083469497061
4,-0.0003468712148371588
5,1.9413500685919298
6,0.3790299712770626
7,-1.20335337406726
8,1.5589832955465062
9,0.45079578457116176
10,0.5189041274240076
11,1.1128700658981845
12,0.5941839736161801
13,0.30566041694061113
14,-2.537581109984012
15,-0.3159119030280517
16,-0.19173737633797022
17,-0.9571005453628226
18,-0.19826588434402584
19,-0.8484856361226484
20,2.14524427982745
21,-0.6330046543964922
22,1.44223409101337
23,-0.7595682285103388
24,0.8254571503143775
25,0.6915581319560967
26,-0.81183735473436
27,-0.27363631488465645
28,2.47018494453803
29,-2.399256114048179
30,-0.04525852328184522
31,0.18960699730338246
32,-1.61037250065567
33,-0.08452971938945324
34,-2.6795646700939786
35,-1.5983551050539462
36,-1.9548828947268637
37,-1.9274144143128742
38,-2.558462245004445
39,1.0766591145602122
40,-1.6342350237047643
41,-2.05264239237845
42,-0.4288938697165283
43,-1.7050398865968
44,-0.43021936880687245
45,0.5558578075890576
46,-0.2525416045433872
47,0.752795642647387
48,2.1031937056118837
49,-3.0397631021857605
50,0.9408851426641219
51,0.27048913946564324
52,-0.005045692166179926
53,0.6420359574088701
54,2.8402824243952556
55,1.1999359889102572
56,0.738815879493598
57,1.505768599490536
58,2.0334233535853476
59,-0.5891221522501289
60,-1.058659835150517
61,-0.46002217553322605
62,1.619273969863932
63,0.9306784322122438
64,1.1842445762422789
65,0.6572236439855965
66,1.0839337392872754
67,-1.0006285468808493
68,0.5258308522842202
69,0.33322574466371874
70,0.5710497156452741
71,0.9160388246315263
72,1.079494361260115
73,0.7890556042262166
74,0.1894847851070069
75,-0.3217436216299954
76,-1.0366127950416508
77,-0.44670221665291293
78,1.3889625896019349
79,0.038775537312913486
80,0.7172310217747666
81,-2.3269669942638576
82,-1.000404963119159
83,2.362662736418687
84,1.5156695880109696
85,1.5524018348901696
86,-0.20802101954295082
87,0.5367618482641346
88,-1.1408062130194732
89,-0.7595295261872499
90,0.6433328513191393
91,-1.0595968496941781
92,-0.6502323586968535
93,1.6395521755811793
94,-1.113376392758474
95,1.116005435822627
96,0.056510680591297005
97,-0.004987216520944405
98,0.2896422006084662
99,-0.5935090009028521
100,-0.29407774192509456
101,-0.8944190263077672
102,1.2304402728166337
103,1.0921807620642452
104,0.8721311705355294
105,0.5671712014163884
106,0.7612316018093823
107,-0.14859787625698523
108,-0.34937489682136574
109,1.8440630746370694
110,1.7658301642550405
111,-0.4636404978047995
112,-0.899050259992004
113,-0.5248803227610276
114,-0.9315648984809365
115,1.2314923996608393
116,-1.0370726421390146
117,1.579838223123886
118,0.17044328755448948
119,-0.05514880187276658
120,-0.4220654803180294
121,-1.7952188006310559
122,0.32542532384180656
123,1.432286236458943
124,-0.7004888426934537
125,-1.1105323672793634
126,0.7924738551053468
127,1.9644084865293843
128,-1.6930082187178062
129,-0.6446346624222203
130,1.6131254816342704
131,-0.8173693985960743
132,0.5743720836631364
133,0.17512271826961148
