,0,1,,,
0,0.668401119,0.223572231,,0.677332192,0.246249028
1,0.662007945,0.228584255,,0.606267746,0.219321486
2,0.656197053,0.228479479,,0.004743105,0.001831519
3,0.615016788,0.245725021,,,
4,0.623792439,0.239487221,,,
5,0.645572024,0.232889984,,,
6,0.665799928,0.220724378,,,
7,0.655329051,0.228737953,,,
8,0.664337796,0.225937146,,,
9,0.624183376,0.242525737,,,
10,0.656863468,0.22269744,,,
11,0.636236803,0.230939204,,,
12,0.620665204,0.245360712,,,
13,0.646194165,0.230622273,,,
14,0.654469746,0.230380841,,,
15,0.640078072,0.22930098,,,
16,0.617295548,0.246249028,,,
17,0.630495119,0.242920468,,,
18,0.674188417,0.227788103,,,
19,0.625826401,0.235401155,,,
20,0.657490824,0.224653528,,,
21,0.65764155,0.223984783,,,
22,0.630718464,0.237823752,,,
23,0.634449926,0.230248979,,,
24,0.667274315,0.224391473,,,
25,0.647298017,0.225513205,,,
26,0.638023274,0.232765718,,,
27,0.643290038,0.230021935,,,
28,0.643847292,0.226164855,,,
29,0.662753401,0.233170809,,,
30,0.640432788,0.239574979,,,
31,0.665004412,0.23330919,,,
32,0.658573445,0.228871445,,,
33,0.636551805,0.232211195,,,
34,0.634396301,0.231706125,,,
35,0.636393835,0.229981271,,,
36,0.641122695,0.226849615,,,
37,0.653804638,0.234439047,,,
38,0.639015021,0.23360444,,,
39,0.606267746,0.23373487,,,
40,0.660728502,0.226069895,,,
41,0.65977462,0.219321486,,,
42,0.657017091,0.224399202,,,
43,0.652111118,0.226438416,,,
44,0.661568557,0.221637433,,,
45,0.677332192,0.227249838,,,
46,0.658769926,0.2296056,,,
47,0.667503349,0.22599926,,,
48,0.649988603,0.232189649,,,
49,0.674729204,0.224172815,,,
