time,deepsurv,cnn
0,1,1
128,0.990850895,0.0034979
129,0.981714006,0.0034979
139,0.972617291,0.0034979
143,0.963529983,0.0034979
144,0.954464185,0.0034979
145,0.927579005,0.0034979
146,0.918525938,0.0034979
148,0.891797657,0.0034979
149,0.87384288,0.0034979
150,0.864879327,0.0034979
151,0.847089348,0.0034979
153,0.838223289,0.0034979
154,0.829375021,0.0034979
156,0.794617468,3.32E-05
158,0.777222205,1.22E-05
159,0.768541088,6.6E-06
160,0.759904337,4.2E-06
161,0.751317269,2.86E-06
162,0.742794312,2.1E-06
163,0.709012433,1.55E-06
165,0.700569029,1.2E-06
166,0.683885739,9.5E-07
168,0.667387635,8E-07
170,0.643102409,6E-07
174,0.627104686,0
176,0.619204026,0
177,0.603659391,0
178,0.588060612,0
179,0.580293938,0
180,0.572586093,0
181,0.542467507,0
182,0.53495276,0
183,0.512574697,0
184,0.469363614,0
185,0.454852903,0
186,0.447647926,0
189,0.440514414,0
190,0.419702325,0
192,0.40608665,0
193,0.379667827,0
194,0.3481602,0
195,0.335833008,0
196,0.329710871,0
197,0.323682182,0
199,0.306183388,0
200,0.283936835,0
201,0.283936835,0
202,0.283936835,0
203,0.283936835,0
204,0.283936835,0
205,0.283936835,0
206,0.283936835,0
207,0.283936835,0
209,0.283936835,0
210,0.283936835,0
211,0.283936835,0
212,0.283936835,0
213,0.283936835,0
215,0.283936835,0
218,0.283936835,0
219,0.283936835,0
221,0.283936835,0
222,0.283936835,0
224,0.283936835,0
225,0.283936835,0
226,0.283936835,0
227,0.283936835,0
229,0.283936835,0
230,0.283936835,0
231,0.283936835,0
232,0.283936835,0
234,0.283936835,0
235,0.283936835,0
237,0.283936835,0
239,0.283936835,0
240,0.283936835,0
241,0.283936835,0
242,0.283936835,0
244,0.283936835,0
245,0.283936835,0
249,0.283936835,0
255,0.283936835,0
257,0.283936835,0
259,0.283936835,0
262,0.283936835,0
263,0.283936835,0
266,0.283936835,0
267,0.283936835,0
268,0.283936835,0
269,0.283936835,0
272,0.283936835,0
273,0.283936835,0
275,0.283936835,0
283,0.283936835,0
288,0.283936835,0
292,0.283936835,0
294,0.283936835,0
297,0.283936835,0
298,0.283936835,0
299,0.283936835,0
301,0.283936835,0
303,0.283936835,0
305,0.283936835,0
306,0.283936835,0
307,0.283936835,0
309,0.283936835,0
313,0.283936835,0
321,0.283936835,0
325,0.283936835,0
334,0.283936835,0
340,0.283936835,0
342,0.283936835,0
343,0.283936835,0
344,0.283936835,0
347,0.283936835,0
354,0.283936835,0
370,0.283936835,0
378,0.283936835,0
379,0.283936835,0
380,0.283936835,0
418,0.283936835,0
435,0.283936835,0
446,0.283936835,0
459,0.283936835,0
481,0.283936835,0
