time,deepsurv,cnn
0,1,1
128,0.995051647,0.1796803
129,0.993390203,0
131,0.991727379,0
133,0.990062475,0
134,0.988395143,0
135,0.98672486,0
136,0.985052118,0
139,0.983378337,0
140,0.9817009,0
143,0.980022021,0
144,0.978341638,0
145,0.969954602,0
146,0.96655167,0
148,0.959756009,0
149,0.954616911,0
150,0.949460835,0
151,0.942528119,0
152,0.940779727,0
153,0.939024397,0
154,0.933758416,0
156,0.919672868,0
158,0.914310757,0
159,0.908925096,0
160,0.907119701,0
161,0.901710113,0
162,0.89629199,0
163,0.885422251,0
164,0.88176596,0
165,0.876268065,0
166,0.8689312,0
167,0.865243584,0
168,0.856034987,0
170,0.839341109,0
171,0.837445659,0
172,0.833662937,0
174,0.824246891,0
175,0.822355075,0
176,0.818571923,0
177,0.805414408,0
178,0.797729775,0
179,0.793863307,0
180,0.791928956,0
181,0.782283986,0
182,0.780334988,0
183,0.770573061,0
184,0.752965371,0
185,0.742988576,0
186,0.738963122,0
187,0.732896502,0
188,0.72473713,0
189,0.718567821,0
190,0.706301395,0
191,0.702198352,0
192,0.69810576,0
193,0.681838633,0
194,0.663587861,0
195,0.653363292,0
196,0.643112745,0
197,0.63694067,0
198,0.632835858,0
199,0.616569149,0
200,0.602332397,0
201,0.602332397,0
202,0.602332397,0
203,0.602332397,0
204,0.602332397,0
205,0.602332397,0
206,0.602332397,0
207,0.602332397,0
208,0.602332397,0
209,0.602332397,0
210,0.602332397,0
211,0.602332397,0
212,0.602332397,0
213,0.602332397,0
214,0.602332397,0
215,0.602332397,0
216,0.602332397,0
217,0.602332397,0
218,0.602332397,0
219,0.602332397,0
220,0.602332397,0
221,0.602332397,0
222,0.602332397,0
223,0.602332397,0
224,0.602332397,0
225,0.602332397,0
226,0.602332397,0
227,0.602332397,0
228,0.602332397,0
229,0.602332397,0
230,0.602332397,0
231,0.602332397,0
232,0.602332397,0
234,0.602332397,0
235,0.602332397,0
237,0.602332397,0
239,0.602332397,0
240,0.602332397,0
241,0.602332397,0
242,0.602332397,0
243,0.602332397,0
244,0.602332397,0
245,0.602332397,0
246,0.602332397,0
247,0.602332397,0
248,0.602332397,0
249,0.602332397,0
250,0.602332397,0
251,0.602332397,0
253,0.602332397,0
254,0.602332397,0
255,0.602332397,0
256,0.602332397,0
257,0.602332397,0
258,0.602332397,0
259,0.602332397,0
260,0.602332397,0
262,0.602332397,0
263,0.602332397,0
266,0.602332397,0
267,0.602332397,0
268,0.602332397,0
269,0.602332397,0
270,0.602332397,0
271,0.602332397,0
272,0.602332397,0
273,0.602332397,0
274,0.602332397,0
275,0.602332397,0
277,0.602332397,0
278,0.602332397,0
279,0.602332397,0
280,0.602332397,0
281,0.602332397,0
282,0.602332397,0
283,0.602332397,0
285,0.602332397,0
287,0.602332397,0
288,0.602332397,0
289,0.602332397,0
290,0.602332397,0
292,0.602332397,0
293,0.602332397,0
294,0.602332397,0
297,0.602332397,0
298,0.602332397,0
299,0.602332397,0
301,0.602332397,0
302,0.602332397,0
303,0.602332397,0
304,0.602332397,0
305,0.602332397,0
306,0.602332397,0
307,0.602332397,0
308,0.602332397,0
309,0.602332397,0
312,0.602332397,0
313,0.602332397,0
316,0.602332397,0
321,0.602332397,0
322,0.602332397,0
324,0.602332397,0
325,0.602332397,0
331,0.602332397,0
332,0.602332397,0
334,0.602332397,0
338,0.602332397,0
340,0.602332397,0
341,0.602332397,0
342,0.602332397,0
343,0.602332397,0
344,0.602332397,0
347,0.602332397,0
351,0.602332397,0
354,0.602332397,0
357,0.602332397,0
361,0.602332397,0
365,0.602332397,0
370,0.602332397,0
378,0.602332397,0
379,0.602332397,0
380,0.602332397,0
381,0.602332397,0
388,0.602332397,0
399,0.602332397,0
409,0.602332397,0
418,0.602332397,0
435,0.602332397,0
446,0.602332397,0
459,0.602332397,0
481,0.602332397,0
489,0.602332397,0
491,0.602332397,0
525,0.602332397,0
543,0.602332397,0
