x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.891016126,0.084424215,0.691291307,-0.027974279,0.397648807,-0.240561878,-0.737189902,0.388882009,-0.896399631,-0.358232867
0.985386672,-0.559454156,0.328189295,-0.44542743,0.071289139,0.096766487,0.345334279,0.44748548,-0.925102068,-0.469959067
0.414121015,0.290054743,0.690973169,-0.998026288,0.396311299,-0.988832823,-0.024318894,-0.766653215,-0.949948634,0.428914365
0.307489518,0.473482844,-0.494001029,-0.425236875,-0.108373992,-0.59269131,-0.63748189,-0.248483603,-0.530066418,-0.3708906
-0.605505783,0.168123806,-0.110527147,-0.805819586,-0.384151714,0.680212986,-0.405334343,-0.031864602,0.162644391,0.998446773
-0.376409613,-0.968788034,-0.211143822,0.605447261,-0.523869251,0.282869792,0.634877216,-0.535579363,-0.192033379,0.552407643
0.3526588,-0.520211856,0.606782498,-0.594607634,-0.911105962,0.244901001,-0.55858822,0.831774536,-0.666615728,0.84462638
-0.314034581,0.408124383,0.430185458,0.388434708,0.471716388,0.185997544,-0.332151973,-0.788379621,-0.582020148,-0.746907901
-0.484058718,0.131298499,0.363456614,0.589294074,0.17797872,0.321153805,-0.895826559,-0.539054397,0.249106845,0.941009817
-0.511712774,-0.178646983,-0.83559568,0.399021066,-0.408366634,-0.074758121,0.953225138,0.921089126,-0.538142315,-0.55156234
0.075863941,0.055768094,-0.406654959,0.277941267,-0.332731193,-0.141618263,0.682110335,-0.390109586,-0.850287243,-0.904393672
0.060686612,0.017253532,0.701211856,-0.135467566,-0.116649045,-0.508572039,0.106008123,0.356819987,0.09587301,-0.884835787
0.640528303,-0.529031531,0.351535011,-0.397200834,0.008707738,-0.216039901,0.855984129,0.200493,0.577015723,0.49535095
-0.173932598,-0.131524745,0.613018254,-0.921608696,-0.731805176,-0.786753526,0.088748352,-0.183651446,0.370599168,0.063729631
-0.284380189,-0.073293014,-0.454936641,0.449912671,-0.631591522,0.168548482,-0.353811186,-0.742512769,-0.269861574,0.758605795
-0.141735727,0.762017744,-0.609113328,-0.504824521,0.099079136,0.596149835,-0.52299146,-0.863853917,-0.568944683,-0.92726626
-0.00568,0.636114187,0.991858449,-0.389277561,-0.794544843,0.287608048,0.837999984,0.800200186,-0.778775949,0.408522542
-0.195613294,-0.460832808,0.248399913,-0.275525717,-0.200277431,-0.038609648,-0.660861228,-0.338062298,0.552594321,0.015066916
0.082657316,-0.589524521,0.699080072,0.939364101,-0.58850633,-0.442888005,0.347887244,0.575303207,-0.565448967,-0.957007365
0.660173052,-0.653379843,-0.199509808,0.880472662,0.631169867,0.061006623,-0.506182844,0.063477572,-0.381264854,-0.16872449
-0.59226987,-0.832468127,0.454953996,0.010489748,0.065575328,0.488008493,0.26254646,-0.998635567,-0.467530209,-0.81487248
0.798290801,-0.310518119,0.638395296,0.092353518,0.619802536,-0.231178177,0.901880126,0.932434484,0.113307454,0.214350971
0.305776292,0.736213909,-0.049995018,0.654741821,0.370081909,-0.201025965,-0.347786873,0.119771936,0.538680968,-0.414484416
-0.115176489,-0.125147145,0.432503789,-0.870230319,-0.879470143,0.500403981,0.322172771,-0.299999178,-0.483381112,0.545000539
-0.164347403,-0.733346031,-0.04119899,0.38007726,-0.261931385,-0.392113795,-0.192094559,0.400248158,-0.865822171,-0.178166396
-0.313848947,-0.158931407,0.850517283,-0.823271061,0.771373515,-0.636278628,-0.338161917,-0.726576532,0.648003757,0.367254872
-0.934807964,-0.849493125,0.193341669,0.782551774,0.144914121,-0.002878766,0.384674266,0.953173698,0.613326139,-0.282716578
0.877932183,0.518970708,0.244366052,0.825425294,0.131663171,0.737080728,-0.382505752,0.652887114,-0.0825135,0.340325164
-0.419765824,-0.159453368,-0.770268655,0.459808963,0.205954372,-0.091398297,0.3797971,0.579791402,0.255206007,-0.714158572
-0.709083591,-0.595146917,-0.122473423,0.086989988,0.351991762,0.2236236,0.62042357,-0.688358925,-0.106538449,-0.100147603
0.643249322,0.648050218,-0.333505511,0.956271782,-0.077540004,-0.538139809,-0.338116561,-0.087453952,0.412016412,-0.501932102
-0.105445795,-0.238512383,0.101668889,-0.73553286,0.330571274,-0.784849312,-0.099930266,-0.982983256,0.385604967,-0.505180455
0.8483755,0.772990498,-0.550324812,0.66248184,-0.753646294,0.995634329,0.394255355,0.422004073,0.535096008,0.769367813
-0.772791161,-0.610697649,-0.095637005,0.107048012,0.421931802,0.110165106,0.441400586,0.21833565,-0.559824094,-0.127032703
0.012741541,-0.641466939,-0.224497439,-0.924036174,0.601151546,0.91931797,-0.791701592,0.985965391,-0.740613603,-0.992772315
-0.766153544,-0.642864407,0.386196701,0.834688529,-0.237221972,0.938354139,-0.316875278,-0.074880949,0.953489038,-0.732783428
0.772219562,-0.409248487,-0.426228808,-0.005042308,0.530163507,-0.792797291,0.545356408,-0.610548415,-0.005903423,-0.868893306
-0.541015295,0.276162743,-0.461872522,0.745526823,-0.434411646,0.50666085,0.689144991,0.894373714,0.170983874,-0.051945049
-0.097790835,-0.729855504,-0.342950292,0.314328556,-0.657073193,0.582262149,-0.155977615,-0.686495558,-0.218082385,0.823129201
0.083641161,0.056255846,0.264206846,-0.21895,0.628939071,-0.614406842,0.525150211,-0.050961216,-0.122809731,0.356034235
0.639617412,-0.644642061,0.238405282,-0.475019625,0.779354249,-0.482576543,0.293681287,-0.154475318,0.707642051,-0.282663889
0.49364868,0.617923209,-0.766960687,0.540506244,-0.83509451,0.378889339,0.792119086,-0.895059398,0.797580954,-0.676789145
-0.964009274,-0.941974159,0.535678181,-0.819063168,-0.335376424,-0.983974081,-0.839741384,-0.205892541,-0.558488616,-0.379993602
0.444777246,-0.069060629,0.845084339,0.466870118,0.581196294,-0.774058381,0.45705267,0.726669444,-0.741943319,-0.236046675
-0.495318015,0.161924131,0.804435088,0.685531808,-0.638770726,-0.692457017,0.707639278,0.344538643,0.488802938,-0.731439405
-0.173138643,-0.204880481,0.868584825,-0.960151644,-0.894181952,0.831476818,0.598982152,0.63750761,0.907658157,0.346396928
0.167802712,0.97203945,-0.893202351,0.475010473,0.118886293,0.147627897,-0.829744843,-0.664735784,0.726543763,-0.5953059
0.456459324,-0.919128245,-0.137274126,-0.465397185,-0.70051982,-0.643733725,0.545147713,-0.344238361,0.477990388,-0.581759297
-0.602425103,0.257334226,0.935454077,-0.243914761,0.781037309,-0.347043956,0.339913744,0.877208752,0.020829003,0.752971647
-0.704881378,-0.078345935,0.746835002,0.375667608,-0.80016619,-0.833600818,0.876585741,-0.798201148,0.896072316,0.864496172
-0.3781501,0.480930961,-0.818420298,0.429900463,-0.557139789,-0.307850423,-0.541525943,-0.495641146,0.369755317,-0.381319378
-0.649012529,0.529719906,-0.172298825,0.931498767,0.387644144,0.06756633,0.492343563,0.914323031,0.196568243,0.336246145
-0.390242189,-0.887749814,0.404649104,0.060962342,-0.773347188,-0.735604241,-0.027522996,-0.84035846,0.910149871,-0.119347329
-0.524819997,0.450662451,-0.139025597,0.114406076,-0.730351247,0.971370791,0.994141117,0.11301873,-0.491014948,0.979473266
0.870913591,0.80163459,-0.436608028,-0.872496585,-0.641970189,0.741234327,-0.873951625,0.943721019,-0.480694753,-0.655778463
-0.326446691,0.777149443,-0.357606049,-0.216217586,0.482188776,0.970085978,0.007100792,0.31173013,0.07088552,0.686504816
-0.677171546,-0.831839577,0.921634163,0.237527159,0.504485433,-0.097391433,0.777503219,0.082823635,-0.240844789,0.155545824
-0.054126991,0.434996179,0.045642813,-0.552119512,-0.277445077,-0.49506932,0.22880376,-0.11501046,-0.419195997,-0.423377499
0.057550728,-0.085951942,-0.104906757,0.409548834,-0.11194165,0.192357901,-0.952091713,0.9222372,-0.425815044,0.852638207
0.473380853,0.201573511,-0.968552458,0.320739989,0.747170219,-0.421804392,0.995156804,-0.887411087,0.858383024,-0.179471436
-0.990690062,-0.588388107,-0.065930214,0.15213242,0.397022115,0.224331714,-0.1329375,-0.986139027,-0.993931731,0.857135721
0.366055647,0.148416468,-0.1382606,0.893284902,-0.710630459,0.406183161,0.468689314,0.166719719,-0.793257509,-0.211154746
-0.489036803,-0.320144016,-0.676158223,0.434062205,0.785406626,-0.528466271,0.366393635,0.078942468,-0.074340425,0.514308152
0.153219488,0.94509799,0.378431175,-0.532039613,-0.846299405,0.612732415,0.918798647,0.399949538,0.770504565,-0.417478029
-0.041060656,-0.5947389,0.765159032,0.629832498,0.233679819,-0.707145893,-0.130114478,0.105570043,-0.670745253,0.28925594
-0.602406609,-0.883256937,-0.422866907,0.641579109,-0.159514558,0.678222975,0.284455709,-0.342045502,0.464853167,0.330309546
0.390333372,0.15458694,0.960471476,0.267739501,0.49719852,0.932568952,0.37774162,-0.471088715,-0.817392604,-0.889566544
0.519969979,-0.212064671,-0.632850886,-0.169875154,0.730371924,0.073175647,-0.308271033,-0.580548222,-0.378041129,-0.633733775
-0.241745716,0.911637049,-0.726503051,0.170511057,0.701199915,0.723533402,-0.821488874,-0.005886293,0.7922049,-0.311702933
-0.44857832,0.557840207,0.898466335,0.224169722,0.069838248,-0.055357168,0.682326904,0.966092359,-0.852415817,-0.560975671
-0.049563718,-0.856433717,0.043553247,0.351635805,-0.816393461,0.035845626,-0.078066617,0.191257879,-0.936894464,0.406136293
-0.843605556,0.040048586,-0.54840589,-0.30827988,-0.435645175,-0.357892455,-0.053001936,0.754126694,-0.036977933,-0.599068444
-0.030248892,0.723865992,0.609298677,-0.981317888,0.809845236,-0.186218871,0.23054182,0.806863253,0.960466624,-0.072681286
0.153887856,0.603448341,-0.47176748,0.329167552,0.860642293,-0.626328609,0.974653847,0.880477911,-0.800761871,0.214536368
