hr,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,event,t
0.316090554,0.215201885,0.546825707,-0.752910018,0.192816108,-0.651268005,0.986588418,0.324489504,-0.319106102,0.545210481,-0.528610408,1,2.005324125
1.005885363,-0.106135547,0.315904111,0.344250977,-0.608248055,-0.441699147,0.527501225,0.400345176,-0.61325556,0.465427428,0.896653473,1,1.126725078
0.648772597,0.414489836,-0.216535211,-0.984549105,-0.366168439,-0.268987358,0.553353786,-0.434823364,0.998198867,-0.492491424,0.240670204,1,0.83628273
0.100383617,-0.626566112,-0.237050325,0.879781127,0.742123604,0.137004912,-0.255990863,-0.580751061,-0.021229623,-0.845409751,-0.195738062,0,3.405994654
-0.376309752,-0.766779959,-0.464134723,0.376676261,-0.238015622,-0.697448671,-0.859464765,0.678176105,-0.868017435,0.219983071,-0.855104923,1,3.165468693
-0.354185611,0.882426381,0.036000773,-0.376607597,0.973397434,-0.653902948,0.311628819,-0.377403498,-0.126568034,-0.240092918,0.696624279,1,1.865214229
-0.509231269,-0.815044522,0.555711031,-0.597531199,-0.103560537,-0.10737548,-0.194578081,0.490783453,-0.918697536,0.281295776,-0.678618491,0,3.405994654
-0.660652936,0.618087173,-0.948480129,0.399698049,0.930663943,-0.314795643,0.371761113,-0.439016938,0.079579666,0.108480066,0.877386689,1,3.199736118
1.241216898,0.217770472,-0.059834011,0.089114383,-0.571850955,-0.501573086,0.209696591,-0.552716434,-0.242920443,0.68770057,-0.876387477,1,1.271914124
-0.375817597,-0.658722043,-0.607392132,-0.433881521,0.513726413,0.671220303,-0.271597296,0.34515059,0.789278388,-0.11851877,0.325710714,1,2.655684948
-0.679445326,-0.734101355,0.893713176,0.11190705,-0.176466227,-0.170796424,-0.814631164,-0.344528437,-0.872566104,-0.409790397,-0.472655803,0,3.405994654
-0.652352929,0.976097226,0.553190589,0.955120623,-0.163388923,-0.482277125,0.61834538,0.476703078,-0.093033291,0.301627278,0.846600652,0,3.405994654
0.765499294,-0.36815992,0.2129765,0.525326788,-0.464610428,-0.737084866,0.487339973,0.873555601,-0.256577581,-0.010502422,-0.54206425,1,0.16400139
-0.475076616,-0.108058326,-0.955001056,-0.789406538,-0.187591359,-0.580599844,0.282050759,0.450998574,0.139802352,0.521197498,-0.794153214,1,3.291428328
-0.529067039,0.078462705,0.999031723,-0.854261458,-0.643221915,0.172891065,-0.280480415,0.01335366,0.925453722,-0.843576372,0.054858934,1,1.254900694
-0.285428017,0.789364696,0.300738096,-0.247666121,0.493591011,0.445236713,0.878724635,0.589325249,-0.696850777,-0.128598213,-0.118513882,1,1.389254808
-0.142207518,0.714525163,-0.296264499,0.183189511,0.262346685,-0.136401877,-0.308036298,-0.183743581,0.956389785,0.373545766,-0.869243264,0,3.405994654
-0.622862339,-0.437435061,-0.996868134,-0.725827456,0.741122127,0.354063958,-0.196215302,-0.410841107,-0.162671238,-0.095310658,-0.584131658,0,3.405994654
-0.307570189,0.792680919,-0.325026691,-0.888125062,0.832166255,-0.81318444,0.140607387,-0.893563628,0.127448261,0.330891013,0.521665454,1,2.120552063
-0.277639061,0.792603314,-0.279860914,-0.080334552,0.250354141,0.364519089,0.189764172,-0.011929774,0.206772342,-0.999508262,-0.605738282,0,3.405994654
-0.761653543,0.928554952,-0.916837037,-0.172986507,0.352102429,-0.30035755,0.505661845,0.889708996,-0.186489746,-0.081248522,-0.052179642,0,3.405994654
-0.525591373,-0.433444798,0.900418639,0.348417312,-0.724959314,-0.34408024,0.327704936,0.466309816,0.381494433,0.654215932,0.427041084,0,3.405994654
0.861042142,-0.300373048,-0.248474836,-0.057684574,0.952118635,0.55497539,0.302628577,0.169134885,0.911461234,-0.681456327,0.208320633,1,0.947021127
-0.674241304,0.677154541,-0.928950667,0.186100647,-0.26765272,-0.08220306,-0.290930212,-0.567674935,-0.211833239,0.524324059,0.306166053,1,2.432692289
-0.24525018,-0.82083112,-0.068455145,0.81711942,0.860674798,-0.30616796,0.907060623,0.850497782,0.976626754,-0.131778538,0.604048312,1,2.456878185
-0.374726623,-0.585346758,0.677517831,0.287431777,0.229674846,0.738844573,-0.937164962,0.849738419,-0.777947009,0.528584659,0.297695249,0,3.405994654
-0.704068065,0.794967294,-0.888819039,0.451638609,0.505163848,0.753879309,0.397800535,-0.913451433,-0.346789926,0.514280021,-0.764516056,1,2.097728252
0.035904612,0.685830891,-0.118342765,-0.916049123,0.785644233,0.850909114,0.627092719,-0.829596162,-0.963260829,-0.606660068,-0.293410033,0,3.405994654
-0.505268514,0.294418514,-0.938318014,-0.052725229,0.930912852,-0.387600899,-0.742758155,-0.592634916,0.472483665,-0.932384908,-0.887579024,0,3.405994654
-0.767096162,-0.995678246,-0.865085661,-0.845324695,0.986974359,0.710359156,0.743285954,-0.528795242,0.539984465,-0.549620152,-0.727796733,0,3.405994654
0.105153181,-0.565882683,-0.354992867,-0.152486295,0.319568813,0.130493641,-0.022353344,-0.897419393,0.858790219,-0.696654081,0.442586839,0,3.405994654
-0.493163794,-0.819951773,-0.526249826,0.87368691,0.27215305,-0.840054631,-0.378223151,-0.674896777,0.169075459,-0.581685901,0.653326154,1,2.084896803
1.044463873,0.191527903,0.25303033,-0.291845918,-0.839552522,-0.022844208,0.99805969,0.604339242,-0.311573267,0.848128676,0.344702691,1,1.295948029
0.079199374,-0.643604457,-0.214399949,0.188562527,0.517395437,0.731271088,-0.233826444,-0.365920156,-0.513866365,0.45015505,-0.931089461,1,0.496964544
0.67182827,-0.456972927,-0.046597581,-0.18133238,-0.269475639,-0.008108,0.840627313,-0.462451488,-0.495940447,0.546878934,-0.357035846,1,1.722361803
1.234616995,0.152677298,0.171123624,0.154040217,0.735284328,0.138815045,-0.903552353,-0.10173247,0.656371653,0.69263804,-0.380640775,1,0.300756186
-0.095779061,-0.414354503,0.627960622,0.311134636,-0.342593342,0.834230125,0.370250225,0.461812377,-0.074403718,0.996517718,0.420879781,1,0.148401901
0.448930472,-0.325756669,0.429816514,-0.001455742,0.939210176,-0.536118984,-0.922348738,0.373187125,0.451189607,0.971043468,-0.443007052,1,0.602093577
0.818904877,-0.162197024,0.371768743,0.265059292,-0.303086013,0.200493053,0.051118594,-0.919891059,-0.987151861,0.89216274,0.878413677,1,0.592111468
-0.177530035,0.627317786,-0.48045665,0.871487141,0.536422312,0.625304639,-0.882008135,0.102296449,-0.972193539,-0.516339123,-0.014011048,0,3.405994654
-0.401155621,-0.709841847,0.571971595,0.453111857,0.765746772,0.961401522,0.351280957,-0.452728748,0.550504148,-0.365233451,0.609657109,0,3.405994654
-0.536491394,0.5808689,0.823997736,-0.764945745,0.145322263,0.778181672,-0.981847942,-0.065754816,0.982631207,-0.589003921,-0.73981607,0,3.405994654
